Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,474,215,93.666664,1,1,1,474.000,215.000,0.000
1,1,507,207,103.666664,1,1,1,507.000,207.000,0.000
1,1,530,266,138.000000,1,1,1,530.000,266.000,0.000
1,1,390,249,117.333336,1,1,1,390.000,249.000,0.000
1,1,470,181,221.333328,1,1,1,470.000,181.000,0.000
1,1,513,249,183.000000,1,1,1,513.000,249.000,0.000
1,1,501,292,113.666664,1,1,1,501.000,292.000,0.000
1,1,481,272,183.000000,1,1,1,481.000,272.000,0.000
1,1,518,244,255.000000,1,1,1,518.000,244.000,0.000
1,1,540,257,104.000000,1,1,1,540.000,257.000,0.000
1,1,566,266,75.333336,1,1,1,566.000,266.000,0.000
1,1,568,279,77.000000,1,1,1,568.000,279.000,0.000
1,1,580,268,89.000000,1,1,1,580.000,268.000,0.000
1,1,580,268,89.000000,1,1,1,580.000,268.000,0.000
1,1,603,275,149.000000,1,1,1,603.000,275.000,0.000
1,1,585,282,75.000000,1,1,1,585.000,282.000,0.000
1,1,537,298,99.000000,1,1,1,537.000,298.000,0.000
1,1,535,315,124.000000,1,1,1,535.000,315.000,0.000
1,1,500,284,108.000000,1,1,1,500.000,284.000,0.000
1,1,510,270,158.333328,1,1,1,510.000,270.000,0.000
1,1,529,259,105.666664,1,1,1,529.000,259.000,0.000
1,1,495,255,146.666672,1,1,1,495.000,255.000,0.000
1,1,493,254,181.000000,1,1,1,493.000,254.000,0.000
1,1,516,245,112.333336,1,1,1,516.000,245.000,0.000
1,1,504,260,159.000000,1,1,1,504.000,260.000,0.000
1,1,505,255,159.666672,1,1,1,505.000,255.000,0.000
1,1,503,256,160.000000,1,1,1,503.000,256.000,0.000
1,1,506,270,123.333336,1,1,1,506.000,270.000,0.000
1,1,508,263,157.000000,1,1,1,508.000,263.000,0.000
1,1,510,273,254.666672,1,1,1,510.000,273.000,0.000
1,1,520,274,179.666672,1,1,1,520.000,274.000,0.000
1,1,518,280,255.000000,1,1,1,518.000,280.000,0.000
1,1,509,282,131.000000,1,1,1,509.000,282.000,0.000
1,1,507,253,171.000000,1,1,1,507.000,253.000,0.000
1,1,521,276,255.000000,1,1,1,521.000,276.000,0.000
1,1,503,283,114.666664,1,1,1,503.000,283.000,0.000
1,1,503,253,166.333328,1,1,1,503.000,253.000,0.000
1,1,529,281,255.000000,1,1,1,529.000,281.000,0.000
1,1,492,293,106.666664,1,1,1,492.000,293.000,0.000
1,1,495,251,185.000000,1,1,1,495.000,251.000,0.000
1,1,296,189,112.333336,1,1,1,296.000,189.000,0.000
1,1,334,168,68.000000,1,1,1,334.000,168.000,0.000
1,1,414,170,114.000000,1,1,1,414.000,170.000,0.000
1,1,460,157,127.666664,1,1,1,460.000,157.000,0.000
1,1,495,155,137.666672,1,1,1,495.000,155.000,0.000
1,1,538,171,200.333328,1,1,1,538.000,171.000,0.000
1,1,588,183,137.000000,1,1,1,588.000,183.000,0.000
1,1,610,185,243.000000,1,1,1,610.000,185.000,0.000
1,1,649,203,135.666672,1,1,1,649.000,203.000,0.000
1,1,691,206,152.333328,1,1,1,691.000,206.000,0.000
1,1,704,199,147.000000,1,1,1,704.000,199.000,0.000
1,1,721,213,148.333328,1,1,1,721.000,213.000,0.000
1,1,356,278,76.000000,1,1,1,356.000,278.000,0.000
1,1,337,327,152.333328,1,1,1,337.000,327.000,0.000
1,1,380,419,109.666664,1,1,1,380.000,419.000,0.000
1,1,464,498,98.333336,1,1,1,464.000,498.000,0.000
1,1,511,503,65.000000,1,1,1,511.000,503.000,0.000
1,1,557,477,56.333332,1,1,1,557.000,477.000,0.000
1,1,598,445,71.000000,1,1,1,598.000,445.000,0.000
1,1,605,277,146.333328,1,1,1,605.000,277.000,0.000
1,1,478,201,193.666672,1,1,1,478.000,201.000,0.000
1,1,374,325,67.333336,1,1,1,374.000,325.000,0.000
1,1,439,482,91.000000,1,1,1,439.000,482.000,0.000
1,1,537,459,103.000000,1,1,1,537.000,459.000,0.000
1,1,595,347,62.333332,1,1,1,595.000,347.000,0.000
1,1,418,304,156.000000,1,1,1,418.000,304.000,0.000
1,1,452,425,78.333336,1,1,1,452.000,425.000,0.000
1,1,522,416,58.666668,1,1,1,522.000,416.000,0.000
1,1,493,318,128.000000,1,1,1,493.000,318.000,0.000
1,1,435,378,113.000000,1,1,1,435.000,378.000,0.000
1,1,527,451,108.333336,1,1,1,527.000,451.000,0.000
1,1,549,258,109.000000,1,1,1,549.000,258.000,0.000
