Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,bad_section,depths
641_2002_2568_NM01_s004.png,494.7032167330206,454.05052059976964,335.4601872401916,-518.2232672278502,-3.9260480814508014,-18.227798373058192,9.16194228338685,-7.821693715967115,-375.72201204229935,1024,670,4,False,441.2102226145454
641_2002_2568_NM01_s014.png,484.28944520295465,431.8224107812892,343.35347135648357,-518.3690235883199,-3.6954675254972926,-7.19215408551122,5.981852352340411,-7.941561803910361,-380.3979885113568,1024,670,14,False,418.78488195847854
641_2002_2568_NM01_s024.png,474.6415595291062,409.0079466659288,323.05494233282883,-505.2442364747077,-3.56067208313857,-5.0453101962999085,4.694938767096801,-7.801789301631459,-373.31791371291615,1024,670,24,False,402.959481178513
641_2002_2568_NM01_s034.png,472.16696439432405,386.78228028500996,328.47766702862134,-475.4099501825167,-3.351707296763948,-4.808891108272576,0.9972321249586003,-7.818466209235794,-372.9077066942683,1024,670,34,False,388.6455944369738
641_2002_2568_NM01_s039.png,488.4767586809239,375.6823112198405,326.08427552974416,-495.0874699975744,-3.15951817791489,10.761721197043073,-13.139931984029317,-8.28072895472934,-390.3298265885487,1024,670,39,False,374.4379264593089
641_2002_2568_NM01_s044.png,480.02773518728304,364.47919683571723,326.84333254811446,-485.275211869539,-2.9372158922565745,18.157985103177396,-21.186256571373406,-7.928553879088213,-370.9252801465889,1024,670,44,False,356.0534494729951
641_2002_2568_NM01_s049.png,486.6267436753162,353.409818930658,329.07203066504314,-484.3703912586601,-2.9720723196895733,16.20209468216831,-17.81061339348446,-8.22069156760358,-385.9468334691206,1024,670,49,False,349.7942984169691
641_2002_2568_NM01_s054.png,470.09975806217085,341.8562249517062,315.7614929260963,-481.1006472964035,-3.262579769229717,1.2927275042317774,-5.241985664748995,-7.812365570284044,-370.58391598124484,1024,670,54,False,338.2676314749016
641_2002_2568_NM01_s059.png,479.86641378118173,330.7360048152255,314.53517302699186,-500.48418918745347,-3.6285342829395972,-9.830380088318748,8.46854729115529,-7.914955397960227,-379.94037215765275,1024,670,59,False,337.23501546302634
641_2002_2568_NM01_s064.png,492.6358441410294,320.1507161128536,337.8221029014745,-491.4481689354413,-3.068966946666535,13.890937381861647,-10.397494664402188,-8.01384113553064,-378.50512822085994,1024,670,64,False,321.30636104205473
641_2002_2568_NM01_s069.png,476.73102341692606,309.1761574469605,351.90227673919765,-486.59352210252973,-3.2572637361274133,3.335930620705142,-4.5746637472482234,-8.189937397159952,-388.79424848553276,1024,670,69,False,300.88588262343285
641_2002_2568_NM01_s074.png,484.1573871231968,297.54013259110616,326.85827986479643,-484.70014206771555,-3.24657694987161,3.228223053068916,-2.930418153544224,-7.914219408308668,-376.19091152111963,1024,670,74,False,287.57521275014216
641_2002_2568_NM01_s079.png,485.96203761792447,286.4791115343116,331.04746848696294,-503.3114626229808,-3.3783252334765166,3.0144469708824886,0.4846675304806354,-8.200618585272878,-390.95185387325466,1024,670,79,False,277.9142222302207
641_2002_2568_NM01_s084.png,494.26360175676894,275.3132147273358,328.1218495316282,-514.035303665146,-3.204759709448581,14.779979746588879,-10.365021249107826,-8.081942124021168,-381.7610082797088,1024,670,84,False,264.95954959101243
